device,NVIDIA GB10,driver_api,13000,header,13040,sms,48,minimum,2097152,recommended,2097152
sample_header,mode,bytes,iteration,operation,host_us,kernel_ms,pending_after
sample,idle,2097152,0,create,50.928,0.000,0
sample,idle,2097152,0,map,0.672,0.000,0
sample,idle,2097152,0,access,37.456,0.000,0
sample,idle,2097152,0,unmap,47.120,0.000,0
sample,idle,2097152,0,release,27.392,0.000,0
sample,idle,2097152,1,create,51.583,0.000,0
sample,idle,2097152,1,map,0.592,0.000,0
sample,idle,2097152,1,access,36.784,0.000,0
sample,idle,2097152,1,unmap,46.927,0.000,0
sample,idle,2097152,1,release,27.296,0.000,0
sample,idle,2097152,2,create,51.376,0.000,0
sample,idle,2097152,2,map,0.592,0.000,0
sample,idle,2097152,2,access,36.767,0.000,0
sample,idle,2097152,2,unmap,46.656,0.000,0
sample,idle,2097152,2,release,26.896,0.000,0
sample,idle,2097152,3,create,50.127,0.000,0
sample,idle,2097152,3,map,0.528,0.000,0
sample,idle,2097152,3,access,36.288,0.000,0
sample,idle,2097152,3,unmap,46.895,0.000,0
sample,idle,2097152,3,release,26.832,0.000,0
sample,idle,2097152,4,create,49.248,0.000,0
sample,idle,2097152,4,map,0.576,0.000,0
sample,idle,2097152,4,access,36.719,0.000,0
sample,idle,2097152,4,unmap,46.672,0.000,0
sample,idle,2097152,4,release,26.352,0.000,0
sample,idle,2097152,5,create,48.783,0.000,0
sample,idle,2097152,5,map,0.512,0.000,0
sample,idle,2097152,5,access,36.192,0.000,0
sample,idle,2097152,5,unmap,47.087,0.000,0
sample,idle,2097152,5,release,27.008,0.000,0
sample,idle,2097152,6,create,51.360,0.000,0
sample,idle,2097152,6,map,0.528,0.000,0
sample,idle,2097152,6,access,36.079,0.000,0
sample,idle,2097152,6,unmap,46.784,0.000,0
sample,idle,2097152,6,release,26.752,0.000,0
sample,idle,2097152,7,create,48.847,0.000,0
sample,idle,2097152,7,map,0.480,0.000,0
sample,idle,2097152,7,access,36.288,0.000,0
sample,idle,2097152,7,unmap,46.751,0.000,0
sample,idle,2097152,7,release,26.592,0.000,0
sample,idle,2097152,8,create,48.672,0.000,0
sample,idle,2097152,8,map,0.496,0.000,0
sample,idle,2097152,8,access,36.335,0.000,0
sample,idle,2097152,8,unmap,47.136,0.000,0
sample,idle,2097152,8,release,27.008,0.000,0
sample,idle,2097152,9,create,48.399,0.000,0
sample,idle,2097152,9,map,0.544,0.000,0
sample,idle,2097152,9,access,35.984,0.000,0
sample,idle,2097152,9,unmap,46.943,0.000,0
sample,idle,2097152,9,release,27.024,0.000,0
sample,idle,2097152,10,create,48.608,0.000,0
sample,idle,2097152,10,map,0.448,0.000,0
sample,idle,2097152,10,access,36.015,0.000,0
sample,idle,2097152,10,unmap,49.472,0.000,0
sample,idle,2097152,10,release,27.008,0.000,0
sample,idle,2097152,11,create,48.463,0.000,0
sample,idle,2097152,11,map,0.464,0.000,0
sample,idle,2097152,11,access,35.920,0.000,0
sample,idle,2097152,11,unmap,46.367,0.000,0
sample,idle,2097152,11,release,26.144,0.000,0
sample,idle,2097152,12,create,48.896,0.000,0
sample,idle,2097152,12,map,0.464,0.000,0
sample,idle,2097152,12,access,36.015,0.000,0
sample,idle,2097152,12,unmap,46.816,0.000,0
sample,idle,2097152,12,release,26.559,0.000,0
sample,idle,2097152,13,create,48.464,0.000,0
sample,idle,2097152,13,map,0.480,0.000,0
sample,idle,2097152,13,access,35.936,0.000,0
sample,idle,2097152,13,unmap,46.575,0.000,0
sample,idle,2097152,13,release,26.336,0.000,0
sample,idle,2097152,14,create,48.720,0.000,0
sample,idle,2097152,14,map,0.464,0.000,0
sample,idle,2097152,14,access,35.839,0.000,0
sample,idle,2097152,14,unmap,46.464,0.000,0
sample,idle,2097152,14,release,26.735,0.000,0
sample,idle,2097152,15,create,48.800,0.000,0
sample,idle,2097152,15,map,0.464,0.000,0
sample,idle,2097152,15,access,35.936,0.000,0
sample,idle,2097152,15,unmap,46.415,0.000,0
sample,idle,2097152,15,release,27.088,0.000,0
sample,idle,2097152,16,create,48.640,0.000,0
sample,idle,2097152,16,map,0.480,0.000,0
sample,idle,2097152,16,access,35.919,0.000,0
sample,idle,2097152,16,unmap,46.496,0.000,0
sample,idle,2097152,16,release,26.367,0.000,0
sample,idle,2097152,17,create,54.976,0.000,0
sample,idle,2097152,17,map,0.512,0.000,0
sample,idle,2097152,17,access,36.400,0.000,0
sample,idle,2097152,17,unmap,45.887,0.000,0
